"","age","Ice"
"757",18.901,1048.735
"758",18.926,1044.033
"759",18.951,1039.334
"760",18.976,1035.297
"761",19.001,1031.263
"762",19.026,1030.634
"763",19.051,1030.009
"764",19.076,1033.666
"765",19.101,1037.327
"766",19.126,1053.608
"767",19.151,1069.892
"768",19.176,1048.877
"769",19.201,1027.865
"770",19.226,1029.237
"771",19.251,1030.611
"772",19.276,1048.664
"773",19.301,1066.72
"774",19.326,1057.897
"775",19.351,1049.077
"776",19.376,1058.142
"777",19.401,1067.208
"778",19.426,1063.22
"779",19.451,1059.233
"780",19.476,1059.965
"781",19.501,1060.698
"782",19.526,1055.617
"783",19.551,1050.536
"784",19.576,1056.976
"785",19.601,1063.417
"786",19.626,1060.641
"787",19.651,1057.866
"788",19.676,1067.927
"789",19.701,1077.988
"790",19.726,1081.575
"791",19.751,1085.161
"792",19.776,1086.992
"793",19.801,1088.821
"794",19.826,1078.582
"795",19.851,1068.34
"796",19.876,1072.8
"797",19.901,1077.257
"798",19.926,1089.722
"799",19.951,1102.185
"800",19.976,1082.281
"801",20.001,1062.374
"802",20.026,1051.462
"803",20.051,1040.548
"804",20.076,1049.379
"805",20.101,1058.208
"806",20.126,1063.853
"807",20.151,1069.495
"808",20.176,1067.894
"809",20.201,1066.29
"810",20.226,1073.021
"811",20.251,1079.75
"812",20.276,1077.699
"813",20.301,1075.645
"814",20.326,1078.745
"815",20.351,1081.842
"816",20.376,1098.869
"817",20.401,1115.894
"818",20.426,1097.807
"819",20.451,1079.717
"820",20.476,1085.871
"821",20.501,1092.021
"822",20.526,1080.285
"823",20.551,1068.546
"824",20.576,1078.636
"825",20.601,1088.722
"826",20.626,1092.552
"827",20.651,1096.378
"828",20.676,1083.964
"829",20.701,1071.545
"830",20.726,1074.702
"831",20.751,1077.856
"832",20.776,1081.993
"833",20.801,1086.127
"834",20.826,1078.627
"835",20.851,1071.123
"836",20.876,1082.047
"837",20.901,1092.968
"838",20.926,1083.148
"839",20.951,1073.324
"840",20.976,1068.763
"841",21.001,1064.197
"842",21.026,1074.658
"843",21.051,1085.115
"844",21.076,1088.546
"845",21.101,1091.974
"846",21.126,1100.883
"847",21.151,1109.789
"848",21.176,1100.699
"849",21.201,1091.605
"850",21.226,1095.784
"851",21.251,1099.959
"852",21.276,1089.978
"853",21.301,1079.995
"854",21.326,1074.507
"855",21.351,1069.017
"856",21.376,1079.872
"857",21.401,1090.724
"858",21.426,1080.29
"859",21.451,1069.853
"860",21.476,1071.703
"861",21.501,1073.551
"862",21.526,1068.814
"863",21.551,1064.076
"864",21.576,1063.835
"865",21.601,1063.593
"866",21.626,1070.042
"867",21.651,1076.489
"868",21.676,1078.767
"869",21.701,1081.044
"870",21.726,1087.27
"871",21.751,1093.496
"872",21.776,1088.092
"873",21.801,1082.687
"874",21.826,1081.781
"875",21.851,1080.874
"876",21.876,1088.635
"877",21.901,1096.396
"878",21.926,1088.03
"879",21.951,1079.664
"880",21.976,1081.283
"881",22.001,1082.902
"882",22.026,1095.055
"883",22.051,1107.208
"884",22.076,1082.499
"885",22.101,1057.791
"886",22.126,1057.659
"887",22.151,1057.529
"888",22.176,1071.771
"889",22.201,1086.014
"890",22.226,1079.303
"891",22.251,1072.592
"892",22.276,1065.115
"893",22.301,1057.638
"894",22.326,1069.69
"895",22.351,1081.744
"896",22.376,1080.084
"897",22.401,1078.425
"898",22.426,1085.653
"899",22.451,1092.882
"900",22.476,1089.799
"901",22.501,1086.716
"902",22.526,1079.026
"903",22.551,1071.337
"904",22.576,1063.868
"905",22.601,1056.4
"906",22.626,1042.13
"907",22.651,1027.86
"908",22.676,1051.662
"909",22.701,1075.464
"910",22.726,1092.465
"911",22.751,1109.466
"912",22.776,1093.554
"913",22.801,1077.642
"914",22.826,1096.181
"915",22.851,1114.721
"916",22.876,1114.061
"917",22.901,1113.402
"918",22.926,1115.267
"919",22.951,1117.132
"920",22.976,1116.145
"921",23.001,1115.159
"922",23.026,1119.659
"923",23.051,1124.159
"924",23.076,1113.849
"925",23.101,1103.538
"926",23.126,1110.234
"927",23.151,1116.929
"928",23.176,1122.198
"929",23.201,1127.468
"930",23.226,1120.339
"931",23.251,1113.21
"932",23.276,1113.761
"933",23.301,1114.312
"934",23.326,1104.329
"935",23.351,1094.346
"936",23.376,1099.832
"937",23.401,1105.318
"938",23.426,1112.009
"939",23.451,1118.7
"940",23.476,1116.722
"941",23.501,1114.743
"942",23.526,1117.811
"943",23.551,1120.876
"944",23.576,1126.465
"945",23.601,1132.051
"946",23.626,1126.446
"947",23.651,1120.839
"948",23.676,1107.99
"949",23.701,1095.139
"950",23.726,1105.326
"951",23.751,1115.512
"952",23.776,1114.175
"953",23.801,1112.837
"954",23.826,1113.91
"955",23.851,1114.982
"956",23.876,1111.772
"957",23.901,1108.56
"958",23.926,1103.152
"959",23.951,1097.741
"960",23.976,1107.687
"961",24.001,1117.631
"962",24.026,1124.611
"963",24.051,1131.587
"964",24.076,1118.594
"965",24.101,1105.6
"966",24.126,1114.436
"967",24.151,1123.272
"968",24.176,1125.743
"969",24.201,1128.214
"970",24.226,1126.406
"971",24.251,1124.597
"972",24.276,1131.237
"973",24.301,1137.877
"974",24.326,1117.967
"975",24.351,1098.059
"976",24.376,1098.888
"977",24.401,1099.718
"978",24.426,1107.353
"979",24.451,1114.989
"980",24.476,1123.616
"981",24.501,1132.246
"982",24.526,1123.324
"983",24.551,1114.406
"984",24.576,1107.906
"985",24.601,1101.409
"986",24.626,1114.775
"987",24.651,1128.145
"988",24.676,1122.21
"989",24.701,1116.281
"990",24.726,1110.686
"991",24.751,1105.097
"992",24.776,1118.384
"993",24.801,1131.678
"994",24.826,1139.821
"995",24.851,1147.972
"996",24.876,1120.692
"997",24.901,1093.42
"998",24.926,1104.884
"999",24.951,1116.356
"1000",24.976,1117.084
"1001",25.001,1117.821
"1002",25.026,1130.306
